CategoryId,Name,Path,AvailableCount,TotalCount
82334,Nintendo DS,,1794,1794
112808,Pow. strzeliński,,0,0
90077,Grzebienie i szczotki,,5380,5380
74255,Cewki,,88,88
115183,Gosławice,,0,0
119283,Tarczyn,,0,0
120311,Pow. rypiński,,0,0
260390,Garmin,,80,80
148351,Pozostałe,,153,153
256610,Domino,,225,225
251036,Pufy,,4224,4224
120759,Pow. ząbkowicki,,0,0
120429,Pow. przasnyski,,0,0
120334,Pow. opolski,,0,0
252409,Skrzynki narzędziowe,,6000,6105
18002,Szklane,,1908,1908
13384,Komplety,,295,295
260307,Basowe,,828,828
74189,Księgi i ramki na życzenia,,2840,2840
85159,Kawiarki,,1189,1189
119110,Pow. braniewski,,0,0
251903,Herbaty żółte,,81,81
258725,Zestawy krawieckie,,356,356
91479,Społeczno-obyczajowe,,6000,42781
253198,Testery szczelności,,211,211
26959,Rysunek,,1258,1258
20007,Folie ochronne,,6000,7106
93544,Pozostałe,,710,710
13841,Kopie i faksymile,,1206,1206
115275,Lipnik,,0,0
99434,Pozostałe,,562,562
115244,Cisowa,,0,0
20609,Komedie,,2359,2359
252949,Leśnictwo,,18,18
260278,Moto E5,,29,29
119687,Pow. ostrołęcki,,0,0
67201,Części elektroniczne,,6000,94463
53621,Polska,,375,375
74297,Sanki,,1780,1780
114135,Pow. kędzierzyńsko-kozielski,,0,0
93534,Austria,,23,23
75532,Bold 9000,,9,9
116896,Jelenia Góra,,0,0
252898,III (2014-),,31,31
116771,Lisiniec,,0,0
260043,Gogle VR,,6000,9148
125776,Akcesoria,,3098,3098
125582,G,,4,4
88343,Urodziny,,4614,4614
252981,XPERIA Z5,,191,191
67162,Klucze,,686,686
12967,Wood Elves,,104,104
110022,Pompy i filtry,,2465,2465
256508,Rolety zewnętrzne,,3921,3921
124102,Łodzie,,0,0
47478,Kinkiety,,6000,11174
256709,Stelaże,,6000,6023
115718,Pow. kielecki,,3,3
118505,Warszawa,,3,3
101482,Europa ,,1330,1330
117490,Górniki,,0,0
90840,Fundusze unijne,,58,58
93616,Mongolia,,24,24
12532,Pozostałe,,0,0
259996,Resuscytatory,,98,98
17128,Pozostałe,,117,117
89101,Filozofia - opracowania ogólne,,6000,13253
115818,Krzyki,,1,1
257950,Pompki do paliwa,,520,520
114454,Szczepanowice,,0,0
255621,Tłumiki sportowe,,6000,7135
259412,Etui i albumy,,677,677
120775,Pow. nakielski,,0,0
122802,Pozostałe,,488,488
13536,Pozostałe,,3349,3349
258776,Wentylatory i cyrkulatory,,432,432
257974,Ładowarki do laptopów,,858,858
115789,Pow. drawski,,1,1
148216,"Kleje, uszczelniacze",,171,171
115648,Pow. hajnowski,,1,1
89102,Filozofia starożytna,,1258,1258
12414,33,,0,0
117658,Pow. złotoryjski,,0,0
88342,Komunia,,3167,3167
257675,BrickHeadz,,394,394
1523,Elektryka i akcesoria,,6000,267886
115889,Śródmieście,,0,0
119435,Szobiszowice,,0,0
132208,Sprzęt elektroniczny,,6000,6904
113272,Pozostałe,,0,0
12440,X3,,169,169
93658,Projektory,,591,591
67473,Żelazka,,6000,6383
101357,Biurka,,2103,2103
117691,Pow. krasnostawski,,0,0
256067,Kratki wentylacyjne,,6000,9214
253518,Herbatki,,433,433
120593,Poznań,,0,0
118208,Pozostałe,,0,0
252210,"Ogrzewanie, wentylacja, klimatyzacja",,1083,1083
12694,Celica,,12,12
118836,Toruń,,0,0
46124,Instalacje hydrauliczne,,6000,132939
10368,Kolejnictwo,,323,323
63766,Karty telewizyjne,,45,45
148063,Bielizna termoaktywna,,689,689
115403,Świerczewo,,0,0
118718,Pow. turecki,,0,0
119300,Grudzice,,0,0
256708,Uchwyty,,3239,3239
114456,Wróblin,,0,0
120763,Grudziądz,,0,0
117147,Pow. tczewski,,0,0
89142,Muzyka,,6000,9849
19054,Pozostałe,,6000,9288
113209,Na Skarpie,,0,0
117862,Gdańsk,,0,0
28126,Komplety,,6000,11668
115105,Bydgoskie Przedmieście,,0,0
119573,Pow. mogileński,,1,1
90340,Biznes - opracowania ogólne,,6000,9711
114337,Grabary,,0,0
67340,Pozostałe,,1197,1197
118623,Jastrzębie-Zdrój,,0,0
259803,Inwertory,,5016,5016
259039,Przesyłki kurierskie,,1,1
256773,Zjazdowe,,6000,15992
147288,Pozostałe,,42,42
57962,B8 (2007-2015),,254,254
119620,Pow. żagański,,1,1
18266,W220 (1998-2005),,32,32
112617,Pozostałe,,370,370
116500,Pow. leszczyński,,0,0
120643,Pow. szczecinecki,,1,1
112992,Pow. lubaczowski,,0,0
255479,Napinacze łańcucha,,5860,5860
115958,Zagórki,,0,0
116027,Stroszek,,0,0
116005,Hałcnów,,0,0
257474,Pielęgnacja,,1190,1190
113359,Przylesie,,0,0
14649,Jazz,,42,42
8857,Makro,,1681,1681
19028,Żarówki,,3317,3317
50865,Dyferencjały,,6000,11544
15995,Pozostałe,,4979,4979
255620,Układ wydechowy,,6000,10291
253007,Hammer 2 3G,,30,30
147668,Akcesoria spawalnicze,,6000,7609
58004,II (2003-2011),,52,52
118358,Pomorskie,,2,2
52749,Polska,,6000,8866
1056,Ameryka Pn.,,216,216
258696,Zawory rozprężne,,3401,3401
20279,Pozostałe,,6000,12872
117158,Mysłowice,,0,0
112939,Pow. łosicki,,0,0
12683,Pozostałe,,0,0
116376,Białystok,,0,0
256205,Zawory podciśnienia,,6000,21280
18201,III (2001-2008),,4,4
118100,Wilanów,,0,0
148442,Przedmioty dekoracyjne,,6000,23631
120626,Szczecin,,0,0
124058,Dla kibiców,,6000,10887
253303,Środki antykorozyjne,,5483,5483
1052,Papiery wartościowe,,2250,2250
115654,Pow. sokólski,,0,0
122410,Na winyle,,37,37
118153,Bojary,,0,0
18229,IV (1989-1994),,0,0
145062,III (2011-),,141,141
114360,Okole,,0,0
79418,Czasopisma,,835,835
18003,Metalowe i inne,,130,130
258610,Sportowe,,50,50
122639,Pozostałe,,6000,11526
117071,Pow. wyszkowski,,0,0
253894,Kabury,,1432,1432
121777,Pozostałe,,6000,7270
119096,Pow. kazimierski,,0,0
3713,Orły,,372,372
118947,Pow. ciechanowski,,0,0
50859,Pozostałe,,4795,4795
257963,Kuchenki przenośne,,2664,2664
112776,Łódzkie,,0,0
117311,Bielawy,,0,0
122464,Przeciwbólowe,,182,182
148268,"Żywice, tkaniny",,258,258
259020,Usługi warsztatowe,,606,606
122405,Pozostałe,,1121,1121
258840,Nasady kominowe,,939,939
117822,Rzeszów,,0,0
114572,Stradom,,0,0
258648,Logiczne,,20,20
113785,Żory,,0,0
258676,Części,,6000,8158
114561,Dźbów,,0,0
121387,Transport drewna,,2145,2145
258396,Zestawy dermokosmetyków,,96,96
115539,Pow. zgierski,,1,1
67433,Zamrażarki,,1170,1170
114095,Pow. białobrzeski,,0,0
12507,Escort,,2,2
113511,Wielkopolskie,,10,10
117677,Pow. toruński,,0,0
28393,Pozostałe,,6000,6809
3572,Akcesoria,,475,475
88325,Pozostałe,,1327,1327
259946,Protetyka,,1581,1581
118518,Pow. mławski,,0,0
18403,II (1989-1996),,0,0
10532,Folie i szkła ochronne,,6000,356956
541,Zegary,,6000,176961
255099,Lampy przednie,,6000,283601
122277,Eye Toy,,10,10
120900,Pow. sierpecki,,0,0
8785,Kamery,,6000,63346
120323,Pow. bialski,,0,0
250177,Horror,,149,149
93159,Marynarka Wojenna,,1908,1908
13714,Kluby polskie,,1188,1188
113884,Pow. łobeski,,0,0
113744,Pow. wysokomazowiecki,,0,0
115217,Nowe Miasto,,0,0
258002,Pozostałe,,6000,163612
91471,Horrory,,5931,5931
120075,Osowa,,0,0
20615,Seriale,,37,37
260046,Rejestratory i grabbery,,355,355
113050,Mysłowice,,1,1
259853,Koraliki modułowe,,1887,1887
122389,Światło i efekty,,6000,11422
93175,Juke,,84,84
110615,Jednorazowe,,71,71
116047,Bojków,,0,0
91249,Repetytoria,,993,993
91894,Niderlandzka,,479,479
120239,Pogodno,,0,0
257539,Stinger,,2,2
254998,Rowery,,189,189
110589,Aparaty analogowe,,3421,3421
119874,Pow. obornicki,,0,0
119727,Pow. brzozowski,,0,0
111865,Ogrzewanie,,6000,132529
259810,Lampki biurkowe,,6000,14120
119654,Pow. krakowski,,2,2
119967,Kalinowszczyzna,,0,0
118344,Wielgowo,,0,0
113688,Pow. wyszkowski,,0,0
18391,II (2004-2013),,219,219
121531,Składy drewna,,282,282
113922,Ochota,,0,0
111636,Dodatki damskie,,6000,12579
12469,Xsara,,17,17
97757,Literatura młodzieżowa,,6000,14535
115855,Bronowice,,0,0
114889,Pow. kolbuszowski,,0,0
259458,Laboratorium,,6000,10619
120318,Pow. żniński,,0,0
254605,Rygle,,3736,3736
64486,Sprzęt biurowy,,6000,29214
14819,Rosja do 1923,,292,292
119595,Pow. lubartowski,,0,0
123782,Tonery,,6000,388078
118277,Wełnowiec,,0,0
115931,Drabinianka,,0,0
90029,Miski i poidła,,2472,2472
116717,Kamienna Góra,,0,0
120806,Pow. tomaszowski,,0,0
67234,Pozostałe,,6000,7963
119944,Pozostałe,,0,0
122551,Maty i poduszki masujące,,2341,2341
16483,MTB (górskie),,6000,9128
253971,Kajdanki,,417,417
118110,Brwinów,,0,0
117766,Ostrołęka,,0,0
125209,920 Lumia,,40,40
113578,Pow. lubelski,,2,2
256661,Układ elektryczny,,2515,2515
