CategoryId,Name,AvailableCount,TotalCount
78674,Umundurowanie,460,460
258845,Siatki,148,148
116004,Aleksandrowice,0,0
258758,Akcesoria hafciarskie,3376,3376
148447,Wiklina ogrodowa,925,925
145178,458 Italia,0,0
16480,BMX,342,342
117599,Pilchowo,0,0
255945,Neffos C5L,0,0
249303,Podszybia,6000,32080
93119,"USA, Kanada, Meksyk",1932,1932
49273,Tacoma,0,0
116280,Pow. chrzanowski,0,0
9589,Polska,6000,11872
258465,Retro,6000,19268
146724,Gran Move,0,0
113411,Bojków,0,0
18101,I (1990-1995),0,0
98748,Kojce,2810,2810
93872,Sport,86,86
145257,GT86,4,4
90364,Pedagogika gimnazjum,408,408
98758,Szafy,1653,1653
113386,Karb,0,0
4752,"USB, FireWire",221,221
4042,Mitsubishi,342,342
10794,obiegowe,2971,2971
28323,Nepal,132,132
18363,II (1991-1996),0,0
10819,Hard,352,352
256068,Drzwiczki rewizyjne,3136,3136
119717,Pow. nyski,0,0
146819,R172 (2011-),4,4
125422,Nintendo Wii U,179,179
121412,Stebnówki ,843,843
100093,Komedie,6000,46501
123950,Karciane,6000,31479
89525,Sweterki,6000,32442
122634,Lasery,1485,1485
116062,Brynów,0,0
116458,Pow. sandomierski,0,0
87981,Trampki,6000,78995
63598,Apartamenty,34,34
250902,Zwrotnice,6000,89961
253865,I (1998-2005),6,6
148422,Creepersy,1707,1707
124893,Noktowizory,447,447
121378,Maszyny do produkcji papieru,10,10
251671,The Lord of the Rings,486,486
778,Gramofony,6000,8225
118987,Pow. kluczborski,0,0
18100,Grand Voyager,16,16
3664,Rosja,3876,3876
257287,CD,2093,2093
92476,Polskie,6000,8884
119335,Starosielce,0,0
1532,Ogród,6000,1083089
89752,Bajki,814,814
254200,Gambia,48,48
114388,Felin,0,0
74167,Satio,9,9
258612,Symulacje,15,15
115419,Pomorskie,8,8
258901,Konserwacja plastików,489,489
116049,Czechowice,0,0
114855,Pow. radomski,0,0
12645,Kangoo,52,52
119918,Paulinów,0,0
119800,Tychy,0,0
4422,Kontrolery,1322,1322
16453,Kierownice,3998,3998
116236,Pow. zamojski,0,0
114609,Józefów,0,0
118536,Pow. warszawski zachodni,0,0
121453,Pompy,1308,1308
257182,Wzmacniacze,5550,5550
100090,Zagraniczne,6000,52280
114915,Pow. moniecki,1,1
45651,2 euro,2348,2348
256730,Kombinezony narciarskie,1345,1345
5557,Motocykle i quady,4008,4008
118971,Pow. siedlecki,0,0
110905,Wazy,1014,1014
89106,"Etyka, estetyka",4714,4714
121146,Targówek,0,0
117988,Koszalin,0,0
114185,Pow. zambrowski,0,0
16561,Dysk,1207,1207
258475,Nintendo GameCube,413,413
121806,Obuwie,1159,1159
250810,Elektronika,68,68
16672,Naklejki (vlepki),1430,1430
118847,Pow. nakielski,0,0
258768,Paski,1081,1081
115079,Zabobrze,0,0
250952,Filtry,430,430
116554,Psie Pole,1,1
114628,Suble,0,0
257396,Car audio,6000,31309
259322,Higiena intymna,5567,5567
147362,C5 (1999-2005),3,3
110180,"Spodnie, legginsy",4729,4729
26273,Ikony,3979,3979
67213,Pirometry,536,536
118140,Przybyszówka,0,0
258386,Pomadki,38,38
113022,Gdynia,0,0
12425,80,26,26
255644,Rury wydechowe,6000,10697
260405,Termometry,2822,2822
122564,Suplementy diety,6000,127760
62564,Czarnogóra,0,0
119370,Wielki Kack,0,0
116480,Pow. ostródzki,0,0
119391,Mikuszowice Krakowskie,0,0
112718,Ociekarki,570,570
82360,Sportowe,2037,2037
260150,Szczotki,4949,4949
258619,Role Playing (RPG),252,252
16186,1971-1980,1004,1004
258090,P20 Pro,322,322
145057,Mii,3,3
259914,Rifter,1,1
67290,Euro,130,130
73977,Grzyby,986,986
258993,6.1,47,47
50775,Silniczki regulacji fotela,1677,1677
47939,Bibeloty,610,610
93168,"Osoby, wybitne postaci",76,76
256111,SUP,855,855
18158,Mk2 (1983-1989),0,0
114223,Zabrze,1,1
118184,Cisowa,0,0
259882,Preparaty do dezynfekcji,3820,3820
119235,Bronowice,0,0
